City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,Aasiaat,68.7098,-52.8699,-13.34,91,100,9.1,GL,2023-01-16 21:10:42
349,Portland,45.5234,-122.6762,51.78,80,75,5.75,US,2023-01-16 21:06:10
350,Barraute,48.4335,-77.6328,25.59,92,79,3.31,CA,2023-01-16 21:10:42
351,Benjamin Constant,-4.3831,-70.0311,80.73,78,40,2.3,BR,2023-01-16 21:10:42
352,Irbil,36.1926,44.0106,42.62,75,21,2.3,IQ,2023-01-16 21:10:43
353,Erzin,36.9559,36.2,49.01,84,100,4.97,TR,2023-01-16 21:10:43
354,Krasnogorsk,55.8225,37.3181,26.96,86,100,11.18,RU,2023-01-16 21:10:44
355,Talara,-4.5772,-81.2719,83.16,51,0,11.5,PE,2023-01-16 21:10:44
356,Ballina,-28.8667,153.5667,73.02,90,56,7.96,AU,2023-01-16 21:10:44
357,Carnot,4.9409,15.8665,74.57,26,88,3.74,CF,2023-01-16 21:10:45
358,Trinidad,-14.8333,-64.9,83.07,70,95,5.95,BO,2023-01-16 21:10:45
359,Yulara,-25.2406,130.9889,81.61,45,4,5.84,AU,2023-01-16 21:10:46
360,Nenjiang,49.1833,125.2167,-14.89,99,100,1.81,CN,2023-01-16 21:10:46
361,Olafsvik,64.8945,-23.7142,27.77,72,62,21.21,IS,2023-01-16 21:10:46
362,Haines Junction,60.7522,-137.5108,22.87,95,100,3.22,CA,2023-01-16 21:10:47
363,Peniche,39.3558,-9.3811,58.1,90,93,26.44,PT,2023-01-16 21:11:47
364,Bira,49.0,132.4667,-23.12,99,69,3.18,RU,2023-01-16 21:11:47
365,Bermejo,-32.8833,-68.8,90.57,25,20,12.12,AR,2023-01-16 21:11:48
366,Natchitoches,31.7668,-93.1335,73.38,68,100,8.05,US,2023-01-16 21:11:48
367,Waipawa,-41.4122,175.5153,65.01,64,4,4.32,NZ,2023-01-16 21:11:49
368,Kahului,20.8947,-156.47,80.62,67,40,9.22,US,2023-01-16 21:11:49
369,Kawalu,-7.3817,108.2082,72.54,97,100,0.76,ID,2023-01-16 21:11:50
370,La Ronge,55.1001,-105.2842,8.6,95,65,3.36,CA,2023-01-16 21:11:50
371,Whitehorse,60.7161,-135.0538,19.81,92,85,20.0,CA,2023-01-16 21:11:50
372,Mangan,27.5167,88.5333,48.49,54,8,4.83,IN,2023-01-16 21:11:51
373,Chuy,-33.6971,-53.4616,77.13,54,0,13.09,UY,2023-01-16 21:11:51
374,Huanren,41.2647,125.3667,2.41,92,5,2.46,CN,2023-01-16 21:11:52
375,East London,-33.0153,27.9116,75.24,91,80,1.81,ZA,2023-01-16 21:11:52
376,Nemuro,43.3236,145.575,20.7,65,65,15.39,JP,2023-01-16 21:11:52
377,Ilulissat,69.2167,-51.1,-3.98,59,75,19.57,GL,2023-01-16 21:11:53
378,Ndele,8.4109,20.6473,74.77,23,63,5.41,CF,2023-01-16 21:11:53
379,Flin Flon,54.7682,-101.865,13.55,90,87,1.52,CA,2023-01-16 21:11:54
380,Terrace,54.5163,-128.6035,35.51,100,100,0.0,CA,2023-01-16 21:11:54
381,Bryant,34.5959,-92.4891,68.45,80,100,4.0,US,2023-01-16 21:11:43
382,Tankhoy,51.5528,105.1306,6.51,80,74,4.16,RU,2023-01-16 21:11:55
383,Lahan,26.7296,86.4951,52.03,82,0,3.87,NP,2023-01-16 21:11:55
384,Paragominas,-2.9667,-47.4833,74.19,94,78,5.26,BR,2023-01-16 21:08:48
385,San Lawrenz,36.0553,14.204,59.86,81,39,1.01,MT,2023-01-16 21:11:56
386,Nuevo Progreso,23.1667,-97.95,83.89,46,5,5.99,MX,2023-01-16 21:11:56
387,Nongstoin,25.5167,91.2667,40.26,86,0,3.4,IN,2023-01-16 21:07:14
388,Vietri Sul Mare,40.6687,14.7253,57.38,92,100,13.89,IT,2023-01-16 21:11:57
389,Paso De Los Toros,-32.8167,-56.5167,97.68,14,0,9.95,UY,2023-01-16 21:11:57
390,Sungaipenuh,-2.0833,101.3833,62.94,96,100,2.46,ID,2023-01-16 21:11:57
391,Waw,7.7029,27.9953,77.25,27,52,5.14,SS,2023-01-16 21:11:58
392,Hami,42.8,93.45,12.43,41,0,0.85,CN,2023-01-16 21:11:58
393,Grand Gaube,-20.0064,57.6608,79.38,70,34,5.99,MU,2023-01-16 21:11:59
394,Tiznit,29.5833,-9.5,55.94,79,0,1.45,MA,2023-01-16 21:11:59
395,Ternate,0.8,127.4,79.97,81,96,4.72,ID,2023-01-16 21:11:59
396,Tugulym,57.0591,64.6425,14.32,88,13,7.18,RU,2023-01-16 21:12:00
397,Nyurba,63.2842,118.3319,-33.2,98,100,3.15,RU,2023-01-16 21:12:00
398,Ayagoz,47.9714,80.4392,-13.38,89,14,3.83,KZ,2023-01-16 21:12:01
