City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Thinadhoo,MV,0.5333,72.9333,79.27,80,83,11.77,broken clouds
234,Manaure,CO,11.7751,-72.4445,82.33,61,16,17.74,few clouds
235,Cap Malheureux,MU,-19.9842,57.6142,78.48,89,100,3.0,very heavy rain
236,Filadelfia,US,39.9523,-75.1638,45.37,92,100,5.75,mist
237,Leh,IN,34.1667,77.5833,6.31,87,85,3.49,overcast clouds
238,Waddan,LY,29.1614,16.139,51.62,29,0,14.61,clear sky
239,Kokkola,FI,63.8385,23.1307,32.04,97,100,9.22,overcast clouds
240,Correntina,BR,-13.3433,-44.6367,70.5,86,90,3.02,overcast clouds
241,Cochrane,CA,51.1834,-114.4687,36.21,47,0,3.44,clear sky
242,Daund,IN,18.4667,74.6,67.71,42,16,6.62,few clouds
243,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,84,40,3.83,scattered clouds
244,Stornoway,GB,58.2093,-6.3865,34.03,87,20,2.3,few clouds
245,Kirovskiy,RU,45.0917,133.5136,-0.89,97,99,6.73,overcast clouds
246,Veseloyarsk,RU,51.2836,81.1056,9.59,96,100,8.86,light snow
247,Saint George,US,37.1041,-113.5841,42.44,65,100,3.0,overcast clouds
248,Iranshahr,IR,27.2025,60.6848,51.42,57,0,5.7,clear sky
249,Salinopolis,BR,-0.6136,-47.3561,74.89,87,100,3.74,overcast clouds
250,Suceveni,RO,46.0122,28.0181,54.12,73,96,17.94,overcast clouds
251,Adrar,MR,20.5022,-10.0711,63.0,37,14,8.75,few clouds
252,Porto Walter,BR,-8.2686,-72.7439,70.66,99,100,1.9,overcast clouds
253,Skaerbaek,DK,55.1573,8.769,35.82,95,96,7.45,overcast clouds
254,Soyo,AO,-6.1349,12.3689,77.27,91,100,9.4,light rain
255,Ouadda,CF,8.0777,22.4007,70.65,26,13,6.89,few clouds
256,Murgab,TM,37.4966,61.9714,30.07,80,40,0.0,scattered clouds
257,Cocobeach,GA,1.0002,9.5823,79.92,80,100,7.74,overcast clouds
258,Tucuman,AR,-26.8241,-65.2226,91.4,55,20,11.5,few clouds
259,Samaipata,BO,-18.15,-63.8667,56.64,94,99,1.52,overcast clouds
260,Hamilton,US,39.1834,-84.5333,48.72,69,40,11.99,scattered clouds
261,Santa Maria,BR,-29.6842,-53.8069,87.1,51,20,11.5,few clouds
262,Anloga,GH,5.7947,0.8973,80.96,83,35,9.6,scattered clouds
263,Leua,SK,48.2156,18.6071,35.49,94,86,3.4,overcast clouds
264,Somerset West,ZA,-34.084,18.8211,70.03,85,2,5.01,clear sky
265,Maxixe,MZ,-23.8597,35.3472,77.74,86,55,8.88,broken clouds
266,Antigonish,CA,45.6169,-61.9986,33.28,91,98,4.0,overcast clouds
267,Awbari,LY,26.5921,12.7805,48.51,36,2,11.97,clear sky
268,Debre Birhan,ET,9.6833,39.5333,43.79,57,28,3.33,scattered clouds
269,Cockburn Town,TC,21.4612,-71.1419,76.66,74,37,18.66,scattered clouds
270,Igarka,RU,67.4667,86.5833,-35.19,91,12,3.96,few clouds
271,Gorele,TR,41.0308,39.0031,53.65,55,57,6.73,broken clouds
272,Cravo Norte,CO,6.3017,-70.2041,85.95,38,70,6.22,broken clouds
273,Dahra,DZ,36.2546,0.8519,45.79,72,10,13.78,clear sky
274,Hofn,IS,64.2539,-15.2082,27.03,97,100,12.48,snow
275,Monte Carmelo,BR,-18.7247,-47.4986,70.36,79,90,2.48,overcast clouds
276,Henties Bay,NA,-22.116,14.2845,65.25,90,77,7.11,broken clouds
277,Penukonda,IN,14.0833,77.5833,59.65,80,28,4.65,scattered clouds
278,Minna,NG,9.6139,6.5569,80.91,19,78,5.44,broken clouds
279,Raudeberg,NO,61.9875,5.1352,30.96,64,1,6.73,clear sky
280,Eirunepe,BR,-6.6603,-69.8736,72.77,98,82,3.38,broken clouds
281,Zwedru,LR,6.0667,-8.1281,73.2,93,56,3.24,broken clouds
282,Garachine,PA,8.0647,-78.3628,79.75,82,61,5.44,broken clouds
283,Januaria,BR,-15.4833,-44.3667,74.95,77,84,2.82,light rain
284,Boddam,GB,57.4667,-1.7833,37.78,74,42,26.33,scattered clouds
285,Kuytun,RU,54.3419,101.5036,-2.96,98,100,1.14,light snow
286,Bereznik,RU,62.8551,42.7072,35.33,91,100,12.59,overcast clouds
287,Kavaratti,IN,10.5669,72.642,79.3,72,6,7.27,clear sky
288,Aosta,IT,45.7667,7.4167,15.37,45,6,1.01,clear sky
289,Leirvik,NO,59.7798,5.5005,29.62,71,8,4.59,clear sky
290,Saint-Francois,FR,46.4154,3.9054,31.44,93,0,5.75,clear sky
291,Tabuleiro Do Norte,BR,-5.2467,-38.1306,77.07,80,97,4.81,overcast clouds
292,Rawson,AR,-43.3002,-65.1023,84.27,39,52,22.84,broken clouds
293,Canarana,BR,-11.6847,-41.7689,69.84,81,100,4.61,overcast clouds
294,Binga,ZW,-17.6203,27.3414,71.31,92,100,4.88,moderate rain
295,Abapo,BO,-18.8333,-63.4667,73.99,67,80,1.34,broken clouds
296,Tala,EG,30.6803,30.9429,49.84,88,0,4.07,clear sky
297,Hualmay,PE,-11.0964,-77.6139,71.46,77,81,6.89,light rain
298,Marsh Harbour,BS,26.5412,-77.0636,74.57,66,93,8.84,overcast clouds
299,Qasigiannguit,GL,68.8193,-51.1922,-31.56,70,0,6.8,clear sky
300,Malumfashi,NG,11.7853,7.6218,68.34,24,1,9.19,clear sky
301,Japura,ID,-0.3167,102.35,72.79,97,99,2.39,overcast clouds
302,Ugoofaaru,MV,5.6667,73.0,79.47,66,0,15.79,clear sky
303,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,72.05,77,89,12.1,overcast clouds
304,Teguldet,RU,57.3064,88.1667,5.56,96,100,5.1,overcast clouds
305,Altamira,BR,-3.2033,-52.2064,72.21,87,81,1.86,broken clouds
306,Alfredo Chaves,BR,-20.635,-40.7497,71.96,97,76,4.23,broken clouds
307,Bud,US,39.447,-86.1758,41.34,79,60,22.64,broken clouds
308,Dingle,PH,10.9995,122.6711,74.79,95,73,8.75,broken clouds
309,Beloha,MG,-25.1667,45.05,73.56,71,100,14.12,overcast clouds
310,Sawakin,SD,19.1059,37.3321,74.21,81,69,3.91,broken clouds
311,Antsohihy,MG,-14.8796,47.9875,72.77,98,100,4.14,light rain
312,Walvis Bay,NA,-22.9575,14.5053,65.59,86,23,7.11,few clouds
313,Alibag,IN,18.6411,72.8792,69.87,66,8,5.3,clear sky
314,Civitavecchia,IT,42.0933,11.7967,40.46,89,54,8.66,light rain
315,San Andres,CO,12.5847,-81.7006,84.22,70,20,9.22,few clouds
316,Puerto Madryn,AR,-42.7692,-65.0385,82.8,42,25,22.77,scattered clouds
317,Cartagena Del Chaira,CO,1.3349,-74.8429,79.84,61,81,2.66,broken clouds
318,Skjervoy,NO,70.0311,20.9714,28.4,62,65,13.15,broken clouds
319,Olafsvik,IS,64.8945,-23.7142,31.44,74,100,19.91,overcast clouds
320,Shakawe,BW,-18.3667,21.85,67.71,90,100,3.0,light rain
321,Kabwe,ZM,-14.4469,28.4464,65.01,97,100,6.38,overcast clouds
322,Gobabis,NA,-22.45,18.9667,72.54,54,71,4.56,light rain
323,Talca,CL,-35.4333,-71.6667,72.64,43,14,10.94,few clouds
324,Jibuti,DJ,11.5,42.5,67.26,73,9,9.37,clear sky
325,Khoy,IR,38.5504,44.9535,34.52,63,0,1.32,clear sky
326,Sur,OM,22.5667,59.5289,69.53,54,25,18.59,scattered clouds
327,Barra Do Garcas,BR,-15.89,-52.2567,76.98,75,58,3.49,broken clouds
328,Charkhi Dadri,IN,28.6,76.2667,48.09,90,99,5.59,overcast clouds
329,Berlevag,NO,70.8578,29.0864,26.55,74,0,4.61,clear sky
330,Sheopur,IN,25.6667,76.7,50.94,46,7,6.24,clear sky
331,Male,MV,4.1748,73.5089,80.04,64,41,20.54,scattered clouds
332,Nalut,LY,30.3333,10.85,39.96,43,0,7.14,clear sky
333,Lachhmangarh,IN,27.8214,75.0251,49.3,71,87,13.0,overcast clouds
334,Abu Dhabi,AE,24.4667,54.3667,64.96,69,0,9.66,clear sky
335,Calama,CL,-22.4667,-68.9333,70.93,29,53,9.93,broken clouds
336,Bangangte,CM,5.1409,10.5198,63.16,70,39,4.56,scattered clouds
337,Macusani,PE,-14.0833,-70.4333,38.98,89,100,4.16,overcast clouds
338,Hun,LY,29.1268,15.9477,51.49,28,0,13.96,clear sky
339,Maniitsoq,GL,65.4167,-52.9,-0.24,70,3,7.36,clear sky
340,Minab,IR,27.1467,57.0801,60.13,45,0,14.85,clear sky
341,Brae,GB,60.3964,-1.353,40.57,73,81,22.77,light rain
342,Carnarvon,AU,-24.8667,113.6333,75.52,80,0,7.76,clear sky
343,Sambava,MG,-14.2667,50.1667,74.35,88,100,12.01,overcast clouds
344,Panaba,MX,21.2833,-88.2667,83.21,62,90,15.12,overcast clouds
345,Santiago De Chuco,PE,-8.15,-78.1833,50.31,87,100,1.63,light rain
346,Carballo,ES,43.213,-8.691,55.0,95,100,8.1,overcast clouds
347,Wladyslawowo,PL,54.7909,18.4009,36.93,76,48,6.69,scattered clouds
348,Agadir,MA,30.4202,-9.5982,52.25,53,0,4.16,clear sky
349,Puerto Carreno,CO,6.189,-67.4859,85.93,41,90,10.27,overcast clouds
350,Penarroya-Pueblonuevo,ES,38.3,-5.2667,46.45,90,98,13.2,overcast clouds
351,Yar-Sale,RU,66.8333,70.8333,-4.07,100,98,7.85,overcast clouds
352,Ericeira,PT,38.9627,-9.4156,55.83,96,69,20.76,broken clouds
353,Irece,BR,-11.3042,-41.8558,71.69,74,100,7.58,overcast clouds
354,Belmonte,BR,-15.8631,-38.8828,76.78,82,45,5.97,scattered clouds
355,Carutapera,BR,-1.195,-46.02,73.26,94,95,2.42,light rain
356,Nouadhibou,MR,20.931,-17.0347,63.64,77,0,21.32,clear sky
357,Husavik,IS,66.0449,-17.3389,17.08,82,100,9.73,overcast clouds
358,Synya,RU,65.3718,58.0387,19.47,88,100,14.47,overcast clouds
359,Lumeje,AO,-11.55,20.7833,65.37,93,100,5.44,overcast clouds
360,Inndyr,NO,67.0338,14.0276,32.04,75,79,9.19,broken clouds
361,Nieuw Amsterdam,SR,5.8833,-55.0833,78.03,85,26,7.81,scattered clouds
362,Moshenskoye,RU,58.5102,34.5911,31.68,99,97,4.7,snow
363,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,74,75,13.0,broken clouds
364,Zvishavane,ZW,-20.3267,30.0665,69.76,73,97,2.89,overcast clouds
365,Mahajanga,MG,-15.7167,46.3167,74.52,92,100,18.37,light rain
366,Tavda,RU,58.0425,65.2726,10.92,88,37,6.73,scattered clouds
367,Passo Fundo,BR,-28.2628,-52.4067,74.52,67,19,10.42,few clouds
368,Linares,CL,-35.85,-71.6,76.15,35,26,11.36,scattered clouds
369,Maldonado,UY,-34.6667,-54.9167,78.22,58,2,16.87,clear sky
370,Weiden,DE,49.6775,12.1567,31.26,88,100,0.0,light snow
371,Kalmunai,LK,7.4167,81.8167,77.27,58,87,10.87,overcast clouds
372,Farafangana,MG,-22.8167,47.8333,77.58,79,100,14.05,light rain
373,Eenhana,NA,-17.4667,16.3333,67.69,87,100,5.97,light rain
374,Maceio,BR,-9.6658,-35.7353,78.24,88,20,2.3,few clouds
375,Carbonia,IT,39.1672,8.5222,44.01,74,79,14.61,light rain
376,Matara,LK,5.9485,80.5353,68.63,82,3,10.58,clear sky
377,Comodoro Rivadavia,AR,-45.8667,-67.5,74.23,58,56,7.85,broken clouds
378,San Ramon,US,37.7799,-121.978,54.16,62,20,8.05,few clouds
379,Tripoli,LY,32.8752,13.1875,54.37,46,43,21.43,scattered clouds
380,Sabya,SA,17.1495,42.6254,77.99,75,7,2.93,clear sky
381,Alta Floresta,BR,-9.8756,-56.0861,69.57,98,81,5.1,broken clouds
382,Richards Bay,ZA,-28.783,32.0377,77.31,88,66,4.65,broken clouds
383,Bongandanga,CD,1.5,21.05,79.45,36,100,1.52,overcast clouds
384,Paamiut,GL,61.994,-49.6678,13.5,79,81,23.2,broken clouds
385,Kangasala,FI,61.4638,24.076,31.98,100,100,7.87,overcast clouds
386,Susanino,RU,58.1461,41.5872,32.52,94,100,12.01,light snow
387,Biograd Na Moru,HR,43.9433,15.4519,40.75,76,100,7.36,overcast clouds
388,Benguela,AO,-12.5763,13.4055,75.92,82,100,4.72,overcast clouds
389,Mityana,UG,0.4175,32.0228,62.19,89,50,0.83,scattered clouds
390,Bonga,ET,7.2833,36.2333,59.45,63,61,1.74,broken clouds
391,Megion,RU,61.0296,76.1136,3.22,100,88,3.85,overcast clouds
392,Puerto Cabezas,NI,14.0351,-83.3888,76.78,86,34,7.56,scattered clouds
393,Honningsvag,NO,70.9821,25.9704,31.75,69,20,16.11,few clouds
394,Nisia Floresta,BR,-6.0911,-35.2086,77.81,82,60,8.19,broken clouds
395,Lasa,IT,46.6166,10.7002,13.66,91,90,2.3,overcast clouds
396,Trifesti,RO,47.45,27.5167,52.95,72,100,5.26,overcast clouds
397,Boa Vista,BR,2.8197,-60.6733,80.58,57,0,5.75,clear sky
398,Kalabo,ZM,-14.97,22.6814,67.66,91,100,4.88,overcast clouds
399,Vetlanda,SE,57.4289,15.0776,32.43,97,99,7.49,light snow
400,Itaberai,BR,-16.0203,-49.8103,69.85,86,21,0.78,few clouds
401,Banda Aceh,ID,5.5577,95.3222,76.14,82,96,9.22,overcast clouds
402,Juan De Acosta,CO,10.8281,-75.0334,78.51,80,66,16.17,broken clouds
403,Meulaboh,ID,4.1363,96.1285,74.3,85,94,3.87,overcast clouds
404,Mayumba,GA,-3.432,10.6554,74.39,95,100,2.33,heavy intensity rain
405,Sevlievo,BG,43.0258,25.1136,50.16,81,96,4.45,overcast clouds
406,Saint-Georges,GD,12.0564,-61.7485,76.91,78,42,16.49,scattered clouds
407,Mingaora,PK,34.7758,72.3625,40.39,88,100,4.7,overcast clouds
408,Antalaha,MG,-14.9003,50.2788,73.94,91,100,6.96,overcast clouds
409,Tabuk,PH,17.4189,121.4443,67.59,94,85,3.29,overcast clouds
410,Abu Samrah,SY,35.3029,37.1841,49.96,65,0,6.31,clear sky
